Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,business,less than 100DM,1 less than or equal and less than 4 years,1,None,4,real estate,36,None,own,3,unskilled-resident,1,"yes, registered under the customers name",yes,1,176.70833333333334,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,4 less than and equal and less than 7 years,2,None,2,if not real estate : building society savings agreement/life insurance,31,bank,own,2,skilled employee /official,1,None,yes,1,154.16666666666666,male , single
no checking account,delay in paying off in the past,business,less than 100DM,1 less than or equal and less than 4 years,1,None,2,unknown/no property,32,None,for free,1,skilled employee /official,1,None,yes,0,160.95833333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,1,guarantor,1,real estate,45,None,own,1,skilled employee /official,1,None,yes,0,332.7142857142857,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,1,if not real estate : building society savings agreement/life insurance,30,None,own,1,skilled employee /official,1,None,yes,1,102.0,female , divorced/separated/married
0 less than or equal and less than 200 DM,all credits at this band paid back duly,education,less than 100DM,4 less than and equal and less than 7 years,4,None,4,unknown/no property,34,bank,for free,1,unskilled-resident,1,None,yes,1,76.54166666666667,female , divorced/separated/married
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",28,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,93.02777777777777,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,4,None,2,if not real estate : building society savings agreement/life insurance,23,None,own,1,skilled employee /official,1,None,yes,0,127.5,female , divorced/separated/married
less than 0 DM,all credits at this band paid back duly,furniture/equipment,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,4,None,4,real estate,22,stores,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,117.83333333333333,male , single
no checking account,critical account / other credits existing (not at this bank),business,less than 100DM,1 less than or equal and less than 4 years,3,None,2,real estate,74,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,188.58333333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,co-applicant,4,unknown/no property,50,None,for free,1,skilled employee /official,1,None,yes,1,74.19444444444444,female , divorced/separated/married
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,1,real estate,33,None,own,1,skilled employee /official,1,None,yes,0,113.94444444444444,male , single
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,bigger than or equal 7 years,4,None,4,unknown/no property,45,bank,for free,1,skilled employee /official,2,None,yes,0,86.66666666666667,male , single
less than 0 DM,existing credits paind back duly till now,domestic appliances,100 less than or equal and < 500DM,unemployed,4,None,3,if not real estate : building society savings agreement/life insurance,22,None,own,1,skilled employee /official,1,None,yes,1,61.75,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,bigger than or equal 7 years,1,None,4,unknown/no property,48,None,for free,1,unskilled-resident,2,None,yes,1,124.0,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,bigger than or equal 1000 DM,less than 1 year,4,None,2,"if not others options : car or other, not in savings accounts/bonds",29,bank,own,1,skilled employee /official,1,None,yes,0,159.85714285714286,female , divorced/separated/married
less than 0 DM,all credits at this band paid back duly,car (used),less than 100DM,1 less than or equal and less than 4 years,1,guarantor,4,"if not others options : car or other, not in savings accounts/bonds",22,bank,rent,1,skilled employee /official,1,None,no,0,151.33333333333334,female , divorced/separated/married
no checking account,delay in paying off in the past,furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,4,None,1,real estate,22,None,own,1,skilled employee /official,1,None,yes,1,100.44444444444444,female , divorced/separated/married
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,business,unknown / no savings account,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",48,bank,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,254.25,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,radio/television,unknown / no savings account,1 less than or equal and less than 4 years,2,None,2,unknown/no property,27,None,for free,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,152.61666666666667,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,1,None,3,real estate,37,None,rent,3,skilled employee /official,2,None,yes,0,612.6666666666666,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,2,co-applicant,4,"if not others options : car or other, not in savings accounts/bonds",21,None,rent,1,skilled employee /official,1,None,yes,1,114.7,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,2,real estate,49,None,own,1,unskilled-resident,1,None,yes,0,53.333333333333336,male , divorced/separated
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),business,less than 100DM,4 less than and equal and less than 7 years,2,None,3,if not real estate : building society savings agreement/life insurance,27,None,own,2,skilled employee /official,1,None,yes,0,173.9047619047619,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,3,None,2,if not real estate : building society savings agreement/life insurance,32,bank,own,2,skilled employee /official,1,None,yes,1,85.0,male , single
no checking account,existing credits paind back duly till now,business,unknown / no savings account,1 less than or equal and less than 4 years,4,None,2,real estate,38,bank,own,1,skilled employee /official,1,None,yes,1,81.54166666666667,male , divorced/separated
